ISO3,Country,Year,Month,Total,Domestic,International
AUS,Australia,2010,1,6568,4085,2483
AUS,Australia,2010,2,5941,3911,2030
AUS,Australia,2010,3,6554,4408,2146
AUS,Australia,2010,4,6415,4352,2063
AUS,Australia,2010,5,6040,4153,1886
AUS,Australia,2010,6,6254,4158,2096
AUS,Australia,2010,7,7034,4633,2401
AUS,Australia,2010,8,6733,4519,2214
AUS,Australia,2010,9,6930,4613,2316
AUS,Australia,2010,10,7205,4832,2373
AUS,Australia,2010,11,6804,4598,2206
AUS,Australia,2010,12,7269,4692,2577
AUS,Australia,2011,1,7096,4387,2709
AUS,Australia,2011,2,6043,3923,2120
AUS,Australia,2011,3,6647,4535,2112
AUS,Australia,2011,4,6810,4525,2285
AUS,Australia,2011,5,6458,4378,2079
AUS,Australia,2011,6,6250,4094,2156
AUS,Australia,2011,7,7216,4684,2532
AUS,Australia,2011,8,6859,4550,2309
AUS,Australia,2011,9,6949,4547,2402
AUS,Australia,2011,10,7168,4691,2476
AUS,Australia,2011,11,6880,4577,2303
AUS,Australia,2011,12,7226,4555,2671
AUS,Australia,2012,1,7276,4472,2804
AUS,Australia,2012,2,6342,4121,2221
AUS,Australia,2012,3,6978,4653,2325
AUS,Australia,2012,4,6908,4529,2379
AUS,Australia,2012,5,6559,4460,2099
AUS,Australia,2012,6,6716,4355,2361
AUS,Australia,2012,7,7434,4838,2595
AUS,Australia,2012,8,7172,4754,2419
AUS,Australia,2012,9,7320,4787,2533
AUS,Australia,2012,10,7613,5040,2573
AUS,Australia,2012,11,7349,4898,2451
AUS,Australia,2012,12,7595,4745,2850
AUS,Australia,2013,1,7515,4628,2887
AUS,Australia,2013,2,6442,4128,2313
AUS,Australia,2013,3,7221,4724,2497
AUS,Australia,2013,4,7179,4729,2450
AUS,Australia,2013,5,6777,4503,2274
AUS,Australia,2013,6,6903,4435,2468
AUS,Australia,2013,7,7848,5052,2795
AUS,Australia,2013,8,7490,4845,2644
AUS,Australia,2013,9,7470,4789,2681
AUS,Australia,2013,10,7889,5180,2710
AUS,Australia,2013,11,7360,4806,2553
AUS,Australia,2013,12,7997,4927,3071
AUS,Australia,2014,1,7992,4790,3202
AUS,Australia,2014,2,6697,4207,2490
AUS,Australia,2014,3,7277,4745,2532
AUS,Australia,2014,4,7467,4757,2710
AUS,Australia,2014,5,6977,4529,2449
AUS,Australia,2014,6,7033,4447,2585
AUS,Australia,2014,7,7956,4998,2957
AUS,Australia,2014,8,7540,4796,2744
AUS,Australia,2014,9,7586,4805,2781
AUS,Australia,2014,10,8093,5239,2855
AUS,Australia,2014,11,7436,4767,2669
AUS,Australia,2014,12,8046,4886,3160
AUS,Australia,2015,1,7914,4631,3283
AUS,Australia,2015,2,6835,4183,2652
AUS,Australia,2015,3,7594,4792,2802
AUS,Australia,2015,4,7469,4722,2747
AUS,Australia,2015,5,7029,4502,2527
AUS,Australia,2015,6,7121,4433,2689
AUS,Australia,2015,7,8203,5113,3089
AUS,Australia,2015,8,7638,4767,2871
AUS,Australia,2015,9,7800,4867,2933
AUS,Australia,2015,10,8181,5159,3022
AUS,Australia,2015,11,7741,4918,2824
AUS,Australia,2015,12,8456,5028,3428
AUS,Australia,2016,1,8353,4793,3560
AUS,Australia,2016,2,7376,4441,2936
AUS,Australia,2016,3,7958,4949,3009
AUS,Australia,2016,4,7773,4814,2959
AUS,Australia,2016,5,7329,4638,2691
AUS,Australia,2016,6,7485,4579,2906
AUS,Australia,2016,7,8564,5156,3408
AUS,Australia,2016,8,7920,4857,3063
AUS,Australia,2016,9,8205,5029,3176
AUS,Australia,2016,10,8436,5210,3226
AUS,Australia,2016,11,8047,5022,3026
AUS,Australia,2016,12,8766,5108,3658
AUS,Australia,2017,1,8746,4944,3802
AUS,Australia,2017,2,7298,4327,2971
AUS,Australia,2017,3,8031,4971,3059
AUS,Australia,2017,4,8215,4908,3308
AUS,Australia,2017,5,7583,4712,2871
AUS,Australia,2017,6,7755,4661,3094
AUS,Australia,2017,7,8809,5269,3541
AUS,Australia,2017,8,8197,4947,3250
AUS,Australia,2017,9,8367,5036,3330
AUS,Australia,2017,10,8754,5384,3370
AUS,Australia,2017,11,8373,5181,3192
AUS,Australia,2017,12,9037,5210,3827
AUS,Australia,2018,1,8929,5044,3885
AUS,Australia,2018,2,7692,4505,3188
AUS,Australia,2018,3,8561,5190,3370
AUS,Australia,2018,4,8402,5040,3362
AUS,Australia,2018,5,7849,4823,3027
AUS,Australia,2018,6,7953,4676,3277
AUS,Australia,2018,7,9108,5397,3711
AUS,Australia,2018,8,8613,5143,3469
AUS,Australia,2018,9,8503,5040,3463
AUS,Australia,2018,10,9000,5452,3548
AUS,Australia,2018,11,8511,5186,3325
AUS,Australia,2018,12,9052,5102,3951
