"Operating and financial statistics for major Canadian airlines, monthly (x 1,000)" 1 2 3 4
"Monthly"
"Table: 23-10-0079-01 (formerly CANSIM 401-0001)"
"Geography: Canada"

"","Canada"
"Reference period","Passengers"
"","Number"
"January 2010","3,016"
"February 2010","2,911"
"March 2010","3,347"
"April 2010","3,160"
"May 2010","3,193"
"June 2010","3,322"
"July 2010","3,692"
"August 2010","3,803"
"September 2010","3,173"
"October 2010","3,135"
"November 2010","2,843"
"December 2010","3,242"
"January 2011","3,150"
"February 2011","3,010"
"March 2011","3,456"
"April 2011","3,342"
"May 2011","3,290"
"June 2011","3,403"
"July 2011","3,866"
"August 2011","3,943"
"September 2011","3,323"
"October 2011","3,247"
"November 2011","2,951"
"December 2011","3,337"
"January 2012","3,346"
"February 2012","3,239"
"March 2012","3,627"
"April 2012","3,468"
"May 2012","3,370"
"June 2012","3,515"
"July 2012","3,968"
"August 2012","4,147"
"September 2012","3,483"
"October 2012","3,434"
"November 2012","3,115"
"December 2012","3,472"
"January 2013","3,435"
"February 2013","3,272"
"March 2013","3,814"
"April 2013","3,502"
"May 2013","3,491"
"June 2013","3,573"
"July 2013","3,987"
"August 2013","4,203"
"September 2013","3,433"
"October 2013","3,402"
"November 2013","3,060"
"December 2013","3,513"
"January 2014","3,405"
"February 2014","3,244"
"March 2014","3,637"
"April 2014","3,704"
"May 2014","3,692"
"June 2014","3,808"
"July 2014","4,370"
"August 2014","4,628"
"September 2014","3,740"
"October 2014","3,715"
"November 2014","3,347"
"December 2014","3,854"
"January 2015","5,507"
"February 2015","5,333"
"March 2015","6,073"
"April 2015","5,601"
"May 2015","5,421"
"June 2015","5,608"
"July 2015","6,441"
"August 2015","6,712"
"September 2015","5,532"
"October 2015","5,316"
"November 2015","4,862"
"December 2015","5,716"
"January 2016","5,763"
"February 2016","5,706"
"March 2016","6,330"
"April 2016","5,758"
"May 2016","5,785"
"June 2016","6,095"
"July 2016","7,155"
"August 2016","7,425"
"September 2016","6,179"
"October 2016","5,841"
"November 2016","5,301"
"December 2016","6,174"
"January 2017","6,243"
"February 2017","5,987"
"March 2017","6,965"
"April 2017","6,597"
"May 2017","6,236"
"June 2017","6,656"
"July 2017","7,619"
"August 2017","8,035"
"September 2017","6,534"
"October 2017","6,280"
"November 2017","5,782"
"December 2017","6,611"
"January 2018","6,594"
"February 2018","6,332"
"March 2018","7,430"
"April 2018","6,744"
"May 2018","6,631"
"June 2018","7,133"
"July 2018","8,133"
"August 2018","8,463"
"September 2018","6,946"
"October 2018","6,615"
"November 2018","6,090"
"December 2018","6,928"


Footnotes:
1,"As of January 2004, the major airlines include WestJet and Air Canada"
2,"As of April 2014, Air Canada data include Air Canada rouge."
3,"As of January 2015, the major airlines include all Canadian Level I air carriers, which are comprised of Air Canada (including Air Canada rouge), Air Transat, Jazz, Porter, Sunwing and WestJet."
4,"As of July 2018, WestJet data include Swoop, WestJet Encore and WestJet Link."

"How to cite: Statistics Canada. Table 23-10-0079-01 Operating and financial statistics for major Canadian airlines, monthly (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310007901
DOI: https://doi.org/10.25318/2310007901-eng
