"REF_DATE","GEO","DGUID","Operational and financial statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3016","","","","0"
"2010-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2911","","","","0"
"2010-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3347","","","","0"
"2010-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3160","","","","0"
"2010-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3193","","","","0"
"2010-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3322","","","","0"
"2010-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3692","","","","0"
"2010-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3803","","","","0"
"2010-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3173","","","","0"
"2010-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3135","","","","0"
"2010-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2843","","","","0"
"2010-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3242","","","","0"
"2011-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3150","","","","0"
"2011-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3010","","","","0"
"2011-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3456","","","","0"
"2011-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3342","","","","0"
"2011-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3290","","","","0"
"2011-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3403","","","","0"
"2011-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3866","","","","0"
"2011-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3943","","","","0"
"2011-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3323","","","","0"
"2011-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3247","","","","0"
"2011-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2951","","","","0"
"2011-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3337","","","","0"
"2012-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3346","","","","0"
"2012-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3239","","","","0"
"2012-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3627","","","","0"
"2012-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3468","","","","0"
"2012-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3370","","","","0"
"2012-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3515","","","","0"
"2012-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3968","","","","0"
"2012-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4147","","","","0"
"2012-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3483","","","","0"
"2012-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3434","","","","0"
"2012-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3115","","","","0"
"2012-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3472","","","","0"
"2013-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3435","","","","0"
"2013-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3272","","","","0"
"2013-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3814","","","","0"
"2013-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3502","","","","0"
"2013-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3491","","","","0"
"2013-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3573","","","","0"
"2013-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3987","","","","0"
"2013-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4203","","","","0"
"2013-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3433","","","","0"
"2013-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3402","","","","0"
"2013-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3060","","","","0"
"2013-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3513","","","","0"
"2014-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3405","","","","0"
"2014-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3244","","","","0"
"2014-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3637","","","","0"
"2014-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3704","","","","0"
"2014-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3692","","","","0"
"2014-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3808","","","","0"
"2014-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4370","","","","0"
"2014-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4628","","","","0"
"2014-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3740","","","","0"
"2014-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3715","","","","0"
"2014-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3347","","","","0"
"2014-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3854","","","","0"
"2015-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5507","","","","0"
"2015-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5333","","","","0"
"2015-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6073","","","","0"
