ISO3,Country,Year,Month,Total,Domestic,International
CAN,Canada,2010,1,3016,,
CAN,Canada,2010,2,2911,,
CAN,Canada,2010,3,3347,,
CAN,Canada,2010,4,3160,,
CAN,Canada,2010,5,3193,,
CAN,Canada,2010,6,3322,,
CAN,Canada,2010,7,3692,,
CAN,Canada,2010,8,3803,,
CAN,Canada,2010,9,3173,,
CAN,Canada,2010,10,3135,,
CAN,Canada,2010,11,2843,,
CAN,Canada,2010,12,3242,,
CAN,Canada,2011,1,3150,,
CAN,Canada,2011,2,3010,,
CAN,Canada,2011,3,3456,,
CAN,Canada,2011,4,3342,,
CAN,Canada,2011,5,3290,,
CAN,Canada,2011,6,3403,,
CAN,Canada,2011,7,3866,,
CAN,Canada,2011,8,3943,,
CAN,Canada,2011,9,3323,,
CAN,Canada,2011,10,3247,,
CAN,Canada,2011,11,2951,,
CAN,Canada,2011,12,3337,,
CAN,Canada,2012,1,3346,,
CAN,Canada,2012,2,3239,,
CAN,Canada,2012,3,3627,,
CAN,Canada,2012,4,3468,,
CAN,Canada,2012,5,3370,,
CAN,Canada,2012,6,3515,,
CAN,Canada,2012,7,3968,,
CAN,Canada,2012,8,4147,,
CAN,Canada,2012,9,3483,,
CAN,Canada,2012,10,3434,,
CAN,Canada,2012,11,3115,,
CAN,Canada,2012,12,3472,,
CAN,Canada,2013,1,3435,,
CAN,Canada,2013,2,3272,,
CAN,Canada,2013,3,3814,,
CAN,Canada,2013,4,3502,,
CAN,Canada,2013,5,3491,,
CAN,Canada,2013,6,3573,,
CAN,Canada,2013,7,3987,,
CAN,Canada,2013,8,4203,,
CAN,Canada,2013,9,3433,,
CAN,Canada,2013,10,3402,,
CAN,Canada,2013,11,3060,,
CAN,Canada,2013,12,3513,,
CAN,Canada,2014,1,3405,,
CAN,Canada,2014,2,3244,,
CAN,Canada,2014,3,3637,,
CAN,Canada,2014,4,3704,,
CAN,Canada,2014,5,3692,,
CAN,Canada,2014,6,3808,,
CAN,Canada,2014,7,4370,,
CAN,Canada,2014,8,4628,,
CAN,Canada,2014,9,3740,,
CAN,Canada,2014,10,3715,,
CAN,Canada,2014,11,3347,,
CAN,Canada,2014,12,3854,,
CAN,Canada,2015,1,5507,,
CAN,Canada,2015,2,5333,,
CAN,Canada,2015,3,6073,,
CAN,Canada,2015,4,5601,,
CAN,Canada,2015,5,5421,,
CAN,Canada,2015,6,5608,,
CAN,Canada,2015,7,6441,,
CAN,Canada,2015,8,6712,,
CAN,Canada,2015,9,5532,,
CAN,Canada,2015,10,5316,,
CAN,Canada,2015,11,4862,,
CAN,Canada,2015,12,5716,,
CAN,Canada,2016,1,5763,,
CAN,Canada,2016,2,5706,,
CAN,Canada,2016,3,6330,,
CAN,Canada,2016,4,5758,,
CAN,Canada,2016,5,5785,,
CAN,Canada,2016,6,6095,,
CAN,Canada,2016,7,7155,,
CAN,Canada,2016,8,7425,,
CAN,Canada,2016,9,6179,,
CAN,Canada,2016,10,5841,,
CAN,Canada,2016,11,5301,,
CAN,Canada,2016,12,6174,,
CAN,Canada,2017,1,6243,,
CAN,Canada,2017,2,5987,,
CAN,Canada,2017,3,6965,,
CAN,Canada,2017,4,6597,,
CAN,Canada,2017,5,6236,,
CAN,Canada,2017,6,6656,,
CAN,Canada,2017,7,7619,,
CAN,Canada,2017,8,8035,,
CAN,Canada,2017,9,6534,,
CAN,Canada,2017,10,6280,,
CAN,Canada,2017,11,5782,,
CAN,Canada,2017,12,6611,,
CAN,Canada,2018,1,6594,,
CAN,Canada,2018,2,6332,,
CAN,Canada,2018,3,7430,,
CAN,Canada,2018,4,6744,,
CAN,Canada,2018,5,6631,,
CAN,Canada,2018,6,7133,,
CAN,Canada,2018,7,8133,,
CAN,Canada,2018,8,8463,,
CAN,Canada,2018,9,6946,,
CAN,Canada,2018,10,6615,,
CAN,Canada,2018,11,6090,,
CAN,Canada,2018,12,6928,,
