ISO3,Country,Year,Month,Total,Domestic,International
CHN,China,2010,1,19408,17585,1363
CHN,China,2010,2,20247,18208,1488
CHN,China,2010,3,21725,19688,1547
CHN,China,2010,4,21567,19399,1602
CHN,China,2010,5,21529,19439,1565
CHN,China,2010,6,21849,19768,1561
CHN,China,2010,7,29072,26666,1763
CHN,China,2010,8,26296,23755,1902
CHN,China,2010,9,22601,20403,1674
CHN,China,2010,10,24476,22141,1732
CHN,China,2010,11,20784,18727,1496
CHN,China,2010,12,21031,18847,1588
CHN,China,2011,1,22667,20380,1711
CHN,China,2011,2,21632,19405,1640
CHN,China,2011,3,22816,20646,1589
CHN,China,2011,4,24368,22098,1616
CHN,China,2011,5,24070,21862,1585
CHN,China,2011,6,23247,21009,1657
CHN,China,2011,7,27320,24667,1950
CHN,China,2011,8,27584,24899,1999
CHN,China,2011,9,25012,22570,1843
CHN,China,2011,10,26377,23804,1921
CHN,China,2011,11,23705,21368,1688
CHN,China,2011,12,24372,21682,1981
CHN,China,2012,1,25670,23079,1901
CHN,China,2012,2,23490,21250,1663
CHN,China,2012,3,25029,22488,1856
CHN,China,2012,4,26048,23333,1967
CHN,China,2012,5,25404,22840,1872
CHN,China,2012,6,25304,22729,1900
CHN,China,2012,7,29909,26949,2200
CHN,China,2012,8,30709,27650,2327
CHN,China,2012,9,27440,24834,1970
CHN,China,2012,10,28294,25685,1919
CHN,China,2012,11,23705,21368,1688
CHN,China,2012,12,28358,25455,2097
CHN,China,2013,1,25670,23102,1903
CHN,China,2013,2,27874,25054,2054
CHN,China,2013,3,28784,25953,2092
CHN,China,2013,4,28492,25566,2148
CHN,China,2013,5,28553,25808,2043
CHN,China,2013,6,28654,25765,2154
CHN,China,2013,7,32665,29389,2473
CHN,China,2013,8,34757,31210,2714
CHN,China,2013,9,30485,27322,2419
CHN,China,2013,10,31648,28686,2234
CHN,China,2013,11,28515,25658,2119
CHN,China,2013,12,27873,24867,2197
CHN,China,2014,1,30575,27506,2286
CHN,China,2014,2,31086,27938,2321
CHN,China,2014,3,30247,27132,2316
CHN,China,2014,4,31415,28103,2454
CHN,China,2014,5,31343,28138,2379
CHN,China,2014,6,30607,27413,2366
CHN,China,2014,7,35797,32044,2868
CHN,China,2014,8,37302,33215,3197
CHN,China,2014,9,33154,29594,2768
CHN,China,2014,10,34882,31150,2878
CHN,China,2014,11,32397,28899,2685
CHN,China,2014,12,33145,29218,3032
CHN,China,2015,1,32459,28758,2909
CHN,China,2015,2,34927,30550,3412
CHN,China,2015,3,36699,32584,3327
CHN,China,2015,4,35795,31475,3476
CHN,China,2015,5,35415,31053,3507
CHN,China,2015,6,34044,30049,3188
CHN,China,2015,7,39149,34632,3647
CHN,China,2015,8,41652,36614,4104
CHN,China,2015,9,36723,32395,3537
CHN,China,2015,10,38551,33919,3751
CHN,China,2015,11,34979,30655,3485
CHN,China,2015,12,35251,30719,3707
CHN,China,2016,1,37363,32321,4172
CHN,China,2016,2,38976,33613,4376
CHN,China,2016,3,38935,34018,4099
CHN,China,2016,4,39714,34635,4234
CHN,China,2016,5,38973,34078,4097
CHN,China,2016,6,38303,33296,4209
CHN,China,2016,7,43533,37784,4903
CHN,China,2016,8,46420,40498,5090
CHN,China,2016,9,41692,36734,4231
CHN,China,2016,10,43736,38828,4140
CHN,China,2016,11,39709,35191,3773
CHN,China,2016,12,40407,35309,4300
CHN,China,2017,1,43931,38111,4969
CHN,China,2017,2,42790,37428,4581
CHN,China,2017,3,44305,39117,4399
CHN,China,2017,4,44023,38920,4263
CHN,China,2017,5,44976,39894,4233
CHN,China,2017,6,43726,38613,4285
CHN,China,2017,7,48600,42726,4961
CHN,China,2017,8,50465,44313,5227
CHN,China,2017,9,46547,41182,4546
CHN,China,2017,10,48831,43254,4679
CHN,China,2017,11,46455,41370,4418
CHN,China,2017,12,46656,40895,4864
CHN,China,2018,1,46469,40691,4937
CHN,China,2018,2,48427,42241,5258
CHN,China,2018,3,51402,45215,5292
CHN,China,2018,4,50742,44467,5337
CHN,China,2018,5,50128,44122,5080
CHN,China,2018,6,49379,43232,5220
CHN,China,2018,7,53779,47120,5662
CHN,China,2018,8,56568,49580,5941
CHN,China,2018,9,50289,44358,5028
CHN,China,2018,10,54084,47881,5251
CHN,China,2018,11,50056,44079,5033
CHN,China,2018,12,50176,43611,5593
CHN,China,2019,1,53409,46338,6075
CHN,China,2019,2,53827,46839,5973
CHN,China,2019,3,53504,46435,6046
CHN,China,2019,4,53118,45990,6080
CHN,China,2019,5,54509,47417,6031
CHN,China,2019,6,53414,46298,6081
CHN,China,2019,7,59304,51612,6590
CHN,China,2019,8,0,,
CHN,China,2019,9,0,,
CHN,China,2019,10,0,,
CHN,China,2019,11,0,,
CHN,China,2019,12,0,,
