ISO3,Country,Year,Month,TRA_COV,Total
AUT,Austria,2010,1,Total,1616.764
AUT,Austria,2010,1,Domestic,58.839
AUT,Austria,2010,1,International,1557.925
BEL,Belgium,2010,1,Total,1337.584
BEL,Belgium,2010,1,Domestic,1.831
BEL,Belgium,2010,1,International,1335.753
BGR,Bulgaria,2010,1,Total,273.78
BGR,Bulgaria,2010,1,Domestic,8.456
BGR,Bulgaria,2010,1,International,265.324
HRV,Croatia,2010,1,Total,139.033
HRV,Croatia,2010,1,Domestic,26.326
HRV,Croatia,2010,1,International,112.707
CYP,Cyprus,2010,1,Total,278.911
CYP,Cyprus,2010,1,Domestic,0
CYP,Cyprus,2010,1,International,278.911
CZE,Czechia,2010,1,Total,714.916
CZE,Czechia,2010,1,Domestic,14.299
CZE,Czechia,2010,1,International,700.617
DNK,Denmark,2010,1,Total,1537.054
DNK,Denmark,2010,1,Domestic,163.824
DNK,Denmark,2010,1,International,1373.23
EST,Estonia,2010,1,Total,88.328
EST,Estonia,2010,1,Domestic,1.834
EST,Estonia,2010,1,International,86.494
FIN,Finland,2010,1,Total,1052.616
FIN,Finland,2010,1,Domestic,190.01
FIN,Finland,2010,1,International,862.606
FRA,France,2010,1,Total,8013.729
FRA,France,2010,1,Domestic,1858.247
FRA,France,2010,1,International,6155.482
DEU,Germany,2010,1,Total,10206.993
DEU,Germany,2010,1,Domestic,1698.681
DEU,Germany,2010,1,International,8508.312
GRC,Greece,2010,1,Total,1225.835
GRC,Greece,2010,1,Domestic,502.672
GRC,Greece,2010,1,International,723.163
HUN,Hungary,2010,1,Total,495.959
HUN,Hungary,2010,1,Domestic,0
HUN,Hungary,2010,1,International,495.959
ISL,Iceland,2010,1,Total,91.443
ISL,Iceland,2010,1,Domestic,0
ISL,Iceland,2010,1,International,91.443
IRL,Ireland,2010,1,Total,1488.034
IRL,Ireland,2010,1,Domestic,30.502
IRL,Ireland,2010,1,International,1457.532
ITA,Italy,2010,1,Total,6698.291
ITA,Italy,2010,1,Domestic,1940.711
ITA,Italy,2010,1,International,4757.58
LVA,Latvia,2010,1,Total,296.334
LVA,Latvia,2010,1,Domestic,0
