Country,ISO3,Year,Month,TRA_MEAS,TRA_COV,Total
Austria,AUT,2018,12,Passengers carried,Total transport,2545.477
Austria,AUT,2018,12,Passengers carried,National transport,40.301
Austria,AUT,2018,12,Passengers carried,International transport,2505.176
Austria,AUT,2018,12,Passengers carried,International transport Intra-EU,1785.006
Austria,AUT,2018,12,Passengers carried,International transport Extra-EU,720.17
Austria,AUT,2018,12,Passengers carried (arrival),Total transport,1293.813
Austria,AUT,2018,12,Passengers carried (arrival),National transport,39.789
Austria,AUT,2018,12,Passengers carried (arrival),International transport,1254.024
Austria,AUT,2018,12,Passengers carried (arrival),International transport Intra-EU,907.524
Austria,AUT,2018,12,Passengers carried (arrival),International transport Extra-EU,346.5
Austria,AUT,2018,12,Passengers carried (departures),Total transport,1291.432
Austria,AUT,2018,12,Passengers carried (departures),National transport,40.28
Austria,AUT,2018,12,Passengers carried (departures),International transport,1251.152
Austria,AUT,2018,12,Passengers carried (departures),International transport Intra-EU,877.482
Austria,AUT,2018,12,Passengers carried (departures),International transport Extra-EU,373.67
Austria,AUT,2018,11,Passengers carried,Total transport,2396.286
Austria,AUT,2018,11,Passengers carried,National transport,47.705
Austria,AUT,2018,11,Passengers carried,International transport,2348.581
Austria,AUT,2018,11,Passengers carried,International transport Intra-EU,1657.608
Austria,AUT,2018,11,Passengers carried,International transport Extra-EU,690.973
Austria,AUT,2018,11,Passengers carried (arrival),Total transport,1251.444
Austria,AUT,2018,11,Passengers carried (arrival),National transport,47.614
Austria,AUT,2018,11,Passengers carried (arrival),International transport,1203.83
Austria,AUT,2018,11,Passengers carried (arrival),International transport Intra-EU,845.122
Austria,AUT,2018,11,Passengers carried (arrival),International transport Extra-EU,358.708
Austria,AUT,2018,11,Passengers carried (departures),Total transport,1192.456
Austria,AUT,2018,11,Passengers carried (departures),National transport,47.705
Austria,AUT,2018,11,Passengers carried (departures),International transport,1144.751
Austria,AUT,2018,11,Passengers carried (departures),International transport Intra-EU,812.486
Austria,AUT,2018,11,Passengers carried (departures),International transport Extra-EU,332.265
Austria,AUT,2018,10,Passengers carried,Total transport,2842.107
Austria,AUT,2018,10,Passengers carried,National transport,56.063
Austria,AUT,2018,10,Passengers carried,International transport,2786.044
Austria,AUT,2018,10,Passengers carried,International transport Intra-EU,1931.934
Austria,AUT,2018,10,Passengers carried,International transport Extra-EU,854.11
Austria,AUT,2018,10,Passengers carried (arrival),Total transport,1424.003
Austria,AUT,2018,10,Passengers carried (arrival),National transport,55.953
Austria,AUT,2018,10,Passengers carried (arrival),International transport,1368.05
Austria,AUT,2018,10,Passengers carried (arrival),International transport Intra-EU,957.868
Austria,AUT,2018,10,Passengers carried (arrival),International transport Extra-EU,410.182
Austria,AUT,2018,10,Passengers carried (departures),Total transport,1473.982
Austria,AUT,2018,10,Passengers carried (departures),National transport,55.988
Austria,AUT,2018,10,Passengers carried (departures),International transport,1417.994
Austria,AUT,2018,10,Passengers carried (departures),International transport Intra-EU,974.066
Austria,AUT,2018,10,Passengers carried (departures),International transport Extra-EU,443.928
Austria,AUT,2018,9,Passengers carried,Total transport,3028.317
Austria,AUT,2018,9,Passengers carried,National transport,56.652
Austria,AUT,2018,9,Passengers carried,International transport,2971.665
Austria,AUT,2018,9,Passengers carried,International transport Intra-EU,2079.42
Austria,AUT,2018,9,Passengers carried,International transport Extra-EU,892.245
Austria,AUT,2018,9,Passengers carried (arrival),Total transport,1567.414
Austria,AUT,2018,9,Passengers carried (arrival),National transport,56.562
Austria,AUT,2018,9,Passengers carried (arrival),International transport,1510.852
Austria,AUT,2018,9,Passengers carried (arrival),International transport Intra-EU,1041.925
Austria,AUT,2018,9,Passengers carried (arrival),International transport Extra-EU,468.927
Austria,AUT,2018,9,Passengers carried (departures),Total transport,1517.222
Austria,AUT,2018,9,Passengers carried (departures),National transport,56.409
Austria,AUT,2018,9,Passengers carried (departures),International transport,1460.813
Austria,AUT,2018,9,Passengers carried (departures),International transport Intra-EU,1037.495
Austria,AUT,2018,9,Passengers carried (departures),International transport Extra-EU,423.318
Austria,AUT,2018,8,Passengers carried,Total transport,3143.286
Austria,AUT,2018,8,Passengers carried,National transport,48.168
Austria,AUT,2018,8,Passengers carried,International transport,3095.118
Austria,AUT,2018,8,Passengers carried,International transport Intra-EU,2076.711
Austria,AUT,2018,8,Passengers carried,International transport Extra-EU,1018.407
Austria,AUT,2018,8,Passengers carried (arrival),Total transport,1590.347
Austria,AUT,2018,8,Passengers carried (arrival),National transport,47.392
Austria,AUT,2018,8,Passengers carried (arrival),International transport,1542.955
Austria,AUT,2018,8,Passengers carried (arrival),International transport Intra-EU,1023.124
Austria,AUT,2018,8,Passengers carried (arrival),International transport Extra-EU,519.831
Austria,AUT,2018,8,Passengers carried (departures),Total transport,1599.875
Austria,AUT,2018,8,Passengers carried (departures),National transport,47.712
Austria,AUT,2018,8,Passengers carried (departures),International transport,1552.163
Austria,AUT,2018,8,Passengers carried (departures),International transport Intra-EU,1053.587
Austria,AUT,2018,8,Passengers carried (departures),International transport Extra-EU,498.576
Austria,AUT,2018,7,Passengers carried,Total transport,3085.491
Austria,AUT,2018,7,Passengers carried,National transport,52.621
Austria,AUT,2018,7,Passengers carried,International transport,3032.87
Austria,AUT,2018,7,Passengers carried,International transport Intra-EU,2046.9
Austria,AUT,2018,7,Passengers carried,International transport Extra-EU,985.97
Austria,AUT,2018,7,Passengers carried (arrival),Total transport,1531.288
Austria,AUT,2018,7,Passengers carried (arrival),National transport,52.111
Austria,AUT,2018,7,Passengers carried (arrival),International transport,1479.177
Austria,AUT,2018,7,Passengers carried (arrival),International transport Intra-EU,1019.083
Austria,AUT,2018,7,Passengers carried (arrival),International transport Extra-EU,460.094
Austria,AUT,2018,7,Passengers carried (departures),Total transport,1605.827
Austria,AUT,2018,7,Passengers carried (departures),National transport,52.134
Austria,AUT,2018,7,Passengers carried (departures),International transport,1553.693
Austria,AUT,2018,7,Passengers carried (departures),International transport Intra-EU,1027.817
Austria,AUT,2018,7,Passengers carried (departures),International transport Extra-EU,525.876
Austria,AUT,2018,6,Passengers carried,Total transport,2822.571
Austria,AUT,2018,6,Passengers carried,National transport,54.618
Austria,AUT,2018,6,Passengers carried,International transport,2767.953
Austria,AUT,2018,6,Passengers carried,International transport Intra-EU,1933.235
Austria,AUT,2018,6,Passengers carried,International transport Extra-EU,834.718
Austria,AUT,2018,6,Passengers carried (arrival),Total transport,1425.633
Austria,AUT,2018,6,Passengers carried (arrival),National transport,54.212
Austria,AUT,2018,6,Passengers carried (arrival),International transport,1371.421
Austria,AUT,2018,6,Passengers carried (arrival),International transport Intra-EU,961.527
Austria,AUT,2018,6,Passengers carried (arrival),International transport Extra-EU,409.894
Austria,AUT,2018,6,Passengers carried (departures),Total transport,1450.71
Austria,AUT,2018,6,Passengers carried (departures),National transport,54.178
Austria,AUT,2018,6,Passengers carried (departures),International transport,1396.532
Austria,AUT,2018,6,Passengers carried (departures),International transport Intra-EU,971.708
Austria,AUT,2018,6,Passengers carried (departures),International transport Extra-EU,424.824
Austria,AUT,2018,5,Passengers carried,Total transport,2585.884
Austria,AUT,2018,5,Passengers carried,National transport,49.824
Austria,AUT,2018,5,Passengers carried,International transport,2536.06
Austria,AUT,2018,5,Passengers carried,International transport Intra-EU,1771.541
Austria,AUT,2018,5,Passengers carried,International transport Extra-EU,764.519
Austria,AUT,2018,5,Passengers carried (arrival),Total transport,1307.357
Austria,AUT,2018,5,Passengers carried (arrival),National transport,49.692
Austria,AUT,2018,5,Passengers carried (arrival),International transport,1257.665
Austria,AUT,2018,5,Passengers carried (arrival),International transport Intra-EU,873.45
Austria,AUT,2018,5,Passengers carried (arrival),International transport Extra-EU,384.215
Austria,AUT,2018,5,Passengers carried (departures),Total transport,1328.218
Austria,AUT,2018,5,Passengers carried (departures),National transport,49.823
Austria,AUT,2018,5,Passengers carried (departures),International transport,1278.395
Austria,AUT,2018,5,Passengers carried (departures),International transport Intra-EU,898.091
Austria,AUT,2018,5,Passengers carried (departures),International transport Extra-EU,380.304
Austria,AUT,2018,4,Passengers carried,Total transport,2442.085
Austria,AUT,2018,4,Passengers carried,National transport,49.507
Austria,AUT,2018,4,Passengers carried,International transport,2392.578
Austria,AUT,2018,4,Passengers carried,International transport Intra-EU,1636.268
Austria,AUT,2018,4,Passengers carried,International transport Extra-EU,756.31
Austria,AUT,2018,4,Passengers carried (arrival),Total transport,1237.794
Austria,AUT,2018,4,Passengers carried (arrival),National transport,49.404
Austria,AUT,2018,4,Passengers carried (arrival),International transport,1188.39
Austria,AUT,2018,4,Passengers carried (arrival),International transport Intra-EU,803.429
Austria,AUT,2018,4,Passengers carried (arrival),International transport Extra-EU,384.961
Austria,AUT,2018,4,Passengers carried (departures),Total transport,1253.695
Austria,AUT,2018,4,Passengers carried (departures),National transport,49.507
Austria,AUT,2018,4,Passengers carried (departures),International transport,1204.188
Austria,AUT,2018,4,Passengers carried (departures),International transport Intra-EU,832.839
Austria,AUT,2018,4,Passengers carried (departures),International transport Extra-EU,371.349
Austria,AUT,2018,3,Passengers carried,Total transport,2404.43
Austria,AUT,2018,3,Passengers carried,National transport,50.625
Austria,AUT,2018,3,Passengers carried,International transport,2353.805
Austria,AUT,2018,3,Passengers carried,International transport Intra-EU,1676.27
Austria,AUT,2018,3,Passengers carried,International transport Extra-EU,677.535
Austria,AUT,2018,3,Passengers carried (arrival),Total transport,1214.096
Austria,AUT,2018,3,Passengers carried (arrival),National transport,50.496
Austria,AUT,2018,3,Passengers carried (arrival),International transport,1163.6
Austria,AUT,2018,3,Passengers carried (arrival),International transport Intra-EU,824.904
Austria,AUT,2018,3,Passengers carried (arrival),International transport Extra-EU,338.696
Austria,AUT,2018,3,Passengers carried (departures),Total transport,1240.825
Austria,AUT,2018,3,Passengers carried (departures),National transport,50.62
Austria,AUT,2018,3,Passengers carried (departures),International transport,1190.205
Austria,AUT,2018,3,Passengers carried (departures),International transport Intra-EU,851.366
Austria,AUT,2018,3,Passengers carried (departures),International transport Extra-EU,338.839
Austria,AUT,2018,2,Passengers carried,Total transport,1937.152
Austria,AUT,2018,2,Passengers carried,National transport,40.903
Austria,AUT,2018,2,Passengers carried,International transport,1896.249
Austria,AUT,2018,2,Passengers carried,International transport Intra-EU,1366.546
Austria,AUT,2018,2,Passengers carried,International transport Extra-EU,529.703
Austria,AUT,2018,2,Passengers carried (arrival),Total transport,994.144
Austria,AUT,2018,2,Passengers carried (arrival),National transport,40.774
Austria,AUT,2018,2,Passengers carried (arrival),International transport,953.37
Austria,AUT,2018,2,Passengers carried (arrival),International transport Intra-EU,689.252
Austria,AUT,2018,2,Passengers carried (arrival),International transport Extra-EU,264.118
Austria,AUT,2018,2,Passengers carried (departures),Total transport,983.78
Austria,AUT,2018,2,Passengers carried (departures),National transport,40.901
Austria,AUT,2018,2,Passengers carried (departures),International transport,942.879
Austria,AUT,2018,2,Passengers carried (departures),International transport Intra-EU,677.294
Austria,AUT,2018,2,Passengers carried (departures),International transport Extra-EU,265.585
Austria,AUT,2018,1,Passengers carried,Total transport,1905.331
Austria,AUT,2018,1,Passengers carried,National transport,38.19
Austria,AUT,2018,1,Passengers carried,International transport,1867.141
Austria,AUT,2018,1,Passengers carried,International transport Intra-EU,1305.579
Austria,AUT,2018,1,Passengers carried,International transport Extra-EU,561.562
Austria,AUT,2018,1,Passengers carried (arrival),Total transport,956.659
Austria,AUT,2018,1,Passengers carried (arrival),National transport,38.085
Austria,AUT,2018,1,Passengers carried (arrival),International transport,918.574
Austria,AUT,2018,1,Passengers carried (arrival),International transport Intra-EU,634.663
Austria,AUT,2018,1,Passengers carried (arrival),International transport Extra-EU,283.911
Austria,AUT,2018,1,Passengers carried (departures),Total transport,986.697
Austria,AUT,2018,1,Passengers carried (departures),National transport,38.13
Austria,AUT,2018,1,Passengers carried (departures),International transport,948.567
Austria,AUT,2018,1,Passengers carried (departures),International transport Intra-EU,670.916
Austria,AUT,2018,1,Passengers carried (departures),International transport Extra-EU,277.651
Austria,AUT,2017,12,Passengers carried,Total transport,2050.629
Austria,AUT,2017,12,Passengers carried,National transport,39.666
Austria,AUT,2017,12,Passengers carried,International transport,2010.963
Austria,AUT,2017,12,Passengers carried,International transport Intra-EU,1413.153
Austria,AUT,2017,12,Passengers carried,International transport Extra-EU,597.81
Austria,AUT,2017,12,Passengers carried (arrival),Total transport,1053.114
Austria,AUT,2017,12,Passengers carried (arrival),National transport,40.783
Austria,AUT,2017,12,Passengers carried (arrival),International transport,1012.331
Austria,AUT,2017,12,Passengers carried (arrival),International transport Intra-EU,724.748
Austria,AUT,2017,12,Passengers carried (arrival),International transport Extra-EU,287.583
Austria,AUT,2017,12,Passengers carried (departures),Total transport,1038.134
Austria,AUT,2017,12,Passengers carried (departures),National transport,39.502
Austria,AUT,2017,12,Passengers carried (departures),International transport,998.632
Austria,AUT,2017,12,Passengers carried (departures),International transport Intra-EU,688.405
Austria,AUT,2017,12,Passengers carried (departures),International transport Extra-EU,310.227
Austria,AUT,2017,11,Passengers carried,Total transport,1947.157
Austria,AUT,2017,11,Passengers carried,National transport,44.931
Austria,AUT,2017,11,Passengers carried,International transport,1902.226
Austria,AUT,2017,11,Passengers carried,International transport Intra-EU,1323.77
Austria,AUT,2017,11,Passengers carried,International transport Extra-EU,578.456
Austria,AUT,2017,11,Passengers carried (arrival),Total transport,1014.758
Austria,AUT,2017,11,Passengers carried (arrival),National transport,46.678
Austria,AUT,2017,11,Passengers carried (arrival),International transport,968.08
Austria,AUT,2017,11,Passengers carried (arrival),International transport Intra-EU,668.395
Austria,AUT,2017,11,Passengers carried (arrival),International transport Extra-EU,299.685
Austria,AUT,2017,11,Passengers carried (departures),Total transport,979.023
Austria,AUT,2017,11,Passengers carried (departures),National transport,44.877
Austria,AUT,2017,11,Passengers carried (departures),International transport,934.146
Austria,AUT,2017,11,Passengers carried (departures),International transport Intra-EU,655.375
Austria,AUT,2017,11,Passengers carried (departures),International transport Extra-EU,278.771
Austria,AUT,2017,10,Passengers carried,Total transport,2424.628
Austria,AUT,2017,10,Passengers carried,National transport,49.816
Austria,AUT,2017,10,Passengers carried,International transport,2374.812
Austria,AUT,2017,10,Passengers carried,International transport Intra-EU,1652.457
Austria,AUT,2017,10,Passengers carried,International transport Extra-EU,722.355
Austria,AUT,2017,10,Passengers carried (arrival),Total transport,1222.616
Austria,AUT,2017,10,Passengers carried (arrival),National transport,51.804
Austria,AUT,2017,10,Passengers carried (arrival),International transport,1170.812
Austria,AUT,2017,10,Passengers carried (arrival),International transport Intra-EU,824.831
