ISO3,Country,Year,Month,Total,Domestic,International
NGA,Nigeria,2014,1,1127.808,736.052,391.756
NGA,Nigeria,2014,2,1079.118,767.459,311.659
NGA,Nigeria,2014,3,1209.681,848.331,361.35
NGA,Nigeria,2014,4,1292.869,919.015,373.854
NGA,Nigeria,2014,5,1253.932,877.76,376.172
NGA,Nigeria,2014,6,1285.676,913.612,372.064
NGA,Nigeria,2014,7,1270.454,859.45,411.004
NGA,Nigeria,2014,8,1305.687,886.482,419.205
NGA,Nigeria,2014,9,1350.451,903.264,447.187
NGA,Nigeria,2014,10,1355.697,910.096,445.601
NGA,Nigeria,2014,11,1315.893,983.371,332.522
NGA,Nigeria,2014,12,1488.479,1075.912,412.567
NGA,Nigeria,2015,1,1188.364,804.099,384.265
NGA,Nigeria,2015,2,1005.231,741.626,263.605
NGA,Nigeria,2015,3,1193.747,855.344,338.403
NGA,Nigeria,2015,4,1218.149,839.558,378.591
NGA,Nigeria,2015,5,1132.781,792.662,340.119
NGA,Nigeria,2015,6,1139.927,805.044,334.883
NGA,Nigeria,2015,7,1212.746,823.227,389.519
NGA,Nigeria,2015,8,1293.565,873.62,419.945
NGA,Nigeria,2015,9,1259.625,853.326,406.299
NGA,Nigeria,2015,10,1238.153,880.785,357.368
NGA,Nigeria,2015,11,1234.565,899.972,334.593
NGA,Nigeria,2015,12,1327.687,928,399.687
NGA,Nigeria,2016,1,1289.394,905.64,383.754
NGA,Nigeria,2016,2,1186.536,886.486,300.05
NGA,Nigeria,2016,3,1349.922,995.742,354.18
NGA,Nigeria,2016,4,1373.204,1018.24,354.964
NGA,Nigeria,2016,5,1317.368,967.834,349.534
NGA,Nigeria,2016,6,1210.077,877.998,332.079
NGA,Nigeria,2016,7,1268.971,902.94,366.031
NGA,Nigeria,2016,8,1398.856,962.792,436.064
NGA,Nigeria,2016,9,1193.425,815.961,377.464
NGA,Nigeria,2016,10,1201.646,867.788,333.858
NGA,Nigeria,2016,11,1216.699,926.077,290.622
NGA,Nigeria,2016,12,1226.499,844.11,382.389
NGA,Nigeria,2017,1,1063.85,723.619,340.231
NGA,Nigeria,2017,2,986.043,727.809,258.234
NGA,Nigeria,2017,3,952.053,680.772,271.281
NGA,Nigeria,2017,4,1047.097,738.796,308.301
NGA,Nigeria,2017,5,1171.054,852.15,318.904
NGA,Nigeria,2017,6,1097.294,788.665,308.629
NGA,Nigeria,2017,7,1266.945,921.346,345.599
NGA,Nigeria,2017,8,1454.197,1017.559,436.638
NGA,Nigeria,2017,9,1343.172,925.991,417.181
NGA,Nigeria,2017,10,1280.367,960.679,319.688
NGA,Nigeria,2017,11,1335.844,1014.903,320.941
NGA,Nigeria,2017,12,1442.253,1031.163,411.09
NGA,Nigeria,2018,1,1255.609,888.191,367.418
NGA,Nigeria,2018,2,1195.557,917.493,278.064
NGA,Nigeria,2018,3,1402.133,1067.204,334.929
NGA,Nigeria,2018,4,1456.259,1091.059,365.2
NGA,Nigeria,2018,5,1375.403,1034.432,340.971
NGA,Nigeria,2018,6,1366.98,1005.263,361.717
NGA,Nigeria,2018,7,1463.257,1067.108,396.149
NGA,Nigeria,2018,8,1531.859,1108.827,423.032
NGA,Nigeria,2018,9,1489.942,1078.786,411.156
NGA,Nigeria,2018,10,1481.28,1137.047,344.233
NGA,Nigeria,2018,11,1511.401,1152.296,359.105
NGA,Nigeria,2018,12,1700.758,1243.933,456.825
