ISO3,Country,Year,Month,Total,Domestic,International
THA,Thailand,2010,1,5740.736,2197.544,3543.192
THA,Thailand,2010,2,5345.134,2005.93,3339.204
THA,Thailand,2010,3,5438.72,2028.256,3410.464
THA,Thailand,2010,4,4590.318,1736.617,2853.701
THA,Thailand,2010,5,3615.066,1392.546,2222.52
THA,Thailand,2010,6,3616.398,1311.317,2305.081
THA,Thailand,2010,7,4680.015,1692.133,2987.882
THA,Thailand,2010,8,4767.335,1746.394,3020.941
THA,Thailand,2010,9,4338.717,1558.458,2780.259
THA,Thailand,2010,10,4821.515,1908.782,2912.733
THA,Thailand,2010,11,4935.484,1894.016,3041.468
THA,Thailand,2010,12,5535.646,2122.748,3412.898
THA,Thailand,2011,1,6156.793,2274.232,3882.561
THA,Thailand,2011,2,5854.798,2139.462,3715.336
THA,Thailand,2011,3,6027.218,2184.701,3842.517
THA,Thailand,2011,4,5596.506,2076.724,3519.782
THA,Thailand,2011,5,5026.279,1821.425,3204.854
THA,Thailand,2011,6,4836.024,1706.725,3129.299
THA,Thailand,2011,7,5773.555,2103.913,3669.642
THA,Thailand,2011,8,5756.842,2123.902,3632.94
THA,Thailand,2011,9,5165.499,1878.663,3286.836
THA,Thailand,2011,10,5088.081,1878.35,3209.731
THA,Thailand,2011,11,5194.525,1879.776,3314.749
THA,Thailand,2011,12,5824.546,2121.987,3702.559
THA,Thailand,2012,1,6717.806,2610.72,4107.086
THA,Thailand,2012,2,6295.787,2403.789,3891.998
THA,Thailand,2012,3,6608.807,2460.604,4148.203
THA,Thailand,2012,4,6334.758,2397.372,3937.386
THA,Thailand,2012,5,5609.089,2098.54,3510.549
THA,Thailand,2012,6,5473.106,1991.105,3482.001
THA,Thailand,2012,7,6173.35,2260.805,3912.545
THA,Thailand,2012,8,6501.871,2467.533,4034.338
THA,Thailand,2012,9,5629.117,2056.979,3572.138
THA,Thailand,2012,10,5525.993,2119.487,3406.506
THA,Thailand,2012,11,4728.922,1973.498,2755.424
THA,Thailand,2012,12,5922.698,2362.963,3559.735
THA,Thailand,2013,1,7665.428,2856.271,4809.157
THA,Thailand,2013,2,7396.492,2728.097,4668.395
THA,Thailand,2013,3,7987.04,2968.293,5018.747
THA,Thailand,2013,4,7340.021,2726.065,4613.956
THA,Thailand,2013,5,6761.358,2544.196,4217.162
THA,Thailand,2013,6,6538.892,2313.412,4225.48
THA,Thailand,2013,7,7149.21,2619.616,4529.594
THA,Thailand,2013,8,7676.874,2858.723,4818.151
THA,Thailand,2013,9,6831.067,2565.602,4265.465
THA,Thailand,2013,10,6434.123,2442.937,3991.186
THA,Thailand,2013,11,6866.558,2493.063,4373.495
THA,Thailand,2013,12,7487.899,2754.11,4733.789
THA,Thailand,2014,1,8089.911,3282.039,4807.872
THA,Thailand,2014,2,7295.372,3011.982,4283.39
THA,Thailand,2014,3,7737.756,3268.214,4469.542
THA,Thailand,2014,4,7610.519,3267.183,4343.336
THA,Thailand,2014,5,6664.287,2872.392,3791.895
THA,Thailand,2014,6,5838.276,2558.325,3279.951
THA,Thailand,2014,7,6936.275,3045.698,3890.577
THA,Thailand,2014,8,7749.707,3362.081,4387.626
THA,Thailand,2014,9,6705.882,2825.766,3880.116
THA,Thailand,2014,10,7336.947,2867.98,4468.967
THA,Thailand,2014,11,7571.452,2865.23,4706.222
THA,Thailand,2014,12,8036.049,3150.053,4885.996
THA,Thailand,2015,1,9519.564,4053.382,5466.182
THA,Thailand,2015,2,9180.195,3838.976,5341.219
THA,Thailand,2015,3,9723.763,4100.073,5623.69
THA,Thailand,2015,4,9229.329,3918.863,5310.466
THA,Thailand,2015,5,8605.741,3686.001,4919.74
THA,Thailand,2015,6,8044.421,3381.199,4663.222
THA,Thailand,2015,7,9272.962,3974.227,5298.735
THA,Thailand,2015,8,9592.841,4138.377,5454.464
THA,Thailand,2015,9,7720.738,3457.9,4262.838
THA,Thailand,2015,10,8160.7,3574.568,4586.132
THA,Thailand,2015,11,8379.967,3435.984,4943.983
THA,Thailand,2015,12,9359.693,3893.304,5466.389
THA,Thailand,2016,1,10919.106,4696.301,6222.805
THA,Thailand,2016,2,10686.642,4498.84,6187.802
THA,Thailand,2016,3,10719.026,4449.571,6269.455
THA,Thailand,2016,4,10239.61,4334.646,5904.964
THA,Thailand,2016,5,9633.787,4246.889,5386.898
THA,Thailand,2016,6,8874.089,3860.278,5013.811
THA,Thailand,2016,7,10562.337,4578.636,5983.701
THA,Thailand,2016,8,10473.197,4528.854,5944.343
THA,Thailand,2016,9,8888.754,3908.608,4980.146
THA,Thailand,2016,10,9097.094,4178.103,4918.991
THA,Thailand,2016,11,9476.683,4172.057,5304.626
THA,Thailand,2016,12,10353.673,4404.514,5949.159
THA,Thailand,2017,1,12089.976,5425.08,6664.896
THA,Thailand,2017,2,11177.333,4835.749,6341.584
THA,Thailand,2017,3,11627.808,5040.725,6587.083
THA,Thailand,2017,4,11133.376,4782.017,6351.359
THA,Thailand,2017,5,10196.045,4416.666,5779.379
THA,Thailand,2017,6,9826.108,4203.164,5622.944
THA,Thailand,2017,7,11184.018,4713.718,6470.3
THA,Thailand,2017,8,11400.918,4832.571,6568.347
THA,Thailand,2017,9,9844.193,4216.343,5627.85
THA,Thailand,2017,10,9676.856,4547.981,5128.875
THA,Thailand,2017,11,9768.942,4549.494,5219.448
THA,Thailand,2017,12,11273.828,5095.953,6177.875
THA,Thailand,2018,1,12791.556,5440.504,7351.052
THA,Thailand,2018,2,12125.07,4991.169,7133.901
THA,Thailand,2018,3,12838.308,5296.297,7542.011
THA,Thailand,2018,4,12138.066,5128.094,7009.972
THA,Thailand,2018,5,11005.978,4791.013,6214.965
THA,Thailand,2018,6,10672.217,4459.425,6212.792
THA,Thailand,2018,7,11684.349,4895.884,6788.465
THA,Thailand,2018,8,11728.824,4938.164,6790.66
THA,Thailand,2018,9,9897.229,4217.348,5679.881
THA,Thailand,2018,10,10851.525,4764.029,6087.496
THA,Thailand,2018,11,11330.047,4844.084,6485.963
THA,Thailand,2018,12,12455.319,5262.946,7192.373
