ISO3,Country,Year,Month,Total,Domestic,International
USA,United States,2010,1,53043,45720,7323
USA,United States,2010,2,49091,42634,6456
USA,United States,2010,3,62735,54673,8062
USA,United States,2010,4,60145,52738,7407
USA,United States,2010,5,61941,54078,7863
USA,United States,2010,6,65515,56939,8576
USA,United States,2010,7,69078,59417,9662
USA,United States,2010,8,66814,57645,9170
USA,United States,2010,9,57842,50601,7241
USA,United States,2010,10,62648,55146,7501
USA,United States,2010,11,58653,51719,6934
USA,United States,2010,12,59040,51330,7711
USA,United States,2011,1,54179,46542,7636
USA,United States,2011,2,50554,43882,6672
USA,United States,2011,3,64164,55948,8216
USA,United States,2011,4,61033,53110,7924
USA,United States,2011,5,64348,56225,8123
USA,United States,2011,6,66777,58041,8736
USA,United States,2011,7,70590,60596,9993
USA,United States,2011,8,66953,57720,9233
USA,United States,2011,9,58629,51320,7309
USA,United States,2011,10,61750,54451,7299
USA,United States,2011,11,58822,51961,6861
USA,United States,2011,12,59594,51779,7815
USA,United States,2012,1,54929,47291,7638
USA,United States,2012,2,53576,46624,6952
USA,United States,2012,3,65008,56458,8549
USA,United States,2012,4,61992,53912,8080
USA,United States,2012,5,64126,55951,8175
USA,United States,2012,6,67144,58136,9007
USA,United States,2012,7,69802,59909,9892
USA,United States,2012,8,68366,58923,9441
USA,United States,2012,9,57935,50429,7507
USA,United States,2012,10,61412,54062,7351
USA,United States,2012,11,59208,52099,7108
USA,United States,2012,12,59324,51347,7977
USA,United States,2013,1,55797,48011,7786
USA,United States,2013,2,52891,45908,6982
USA,United States,2013,3,65540,56764,8776
USA,United States,2013,4,61418,53423,7995
USA,United States,2013,5,65208,56760,8448
USA,United States,2013,6,67517,58186,9330
USA,United States,2013,7,69726,59509,10218
USA,United States,2013,8,68231,58373,9858
USA,United States,2013,9,58648,51037,7611
USA,United States,2013,10,62622,54961,7661
USA,United States,2013,11,58020,50766,7255
USA,United States,2013,12,62919,54551,8368
USA,United States,2014,1,56265,48165,8100
USA,United States,2014,2,52843,45693,7150
USA,United States,2014,3,66911,57998,8913
USA,United States,2014,4,63883,55443,8442
USA,United States,2014,5,66912,58075,8836
USA,United States,2014,6,69069,59490,9579
USA,United States,2014,7,72422,61958,10464
USA,United States,2014,8,70057,60007,10050
USA,United States,2014,9,60444,52785,7659
USA,United States,2014,10,64978,57359,7619
USA,United States,2014,11,60158,52824,7334
USA,United States,2014,12,64177,55691,8486
USA,United States,2015,1,58229,49917,8314
USA,United States,2015,2,54572,47337,7235
USA,United States,2015,3,68640,59753,8888
USA,United States,2015,4,66343,57882,8461
USA,United States,2015,5,69353,60449,8904
USA,United States,2015,6,71710,62011,9700
USA,United States,2015,7,76191,65324,10866
USA,United States,2015,8,73366,62978,10388
USA,United States,2015,9,64189,56239,7951
USA,United States,2015,10,69207,61157,8050
USA,United States,2015,11,64974,57366,7608
USA,United States,2015,12,66801,58041,8760
USA,United States,2016,1,61202,52642,8559
USA,United States,2016,2,58836,51265,7571
USA,United States,2016,3,70927,61763,9164
USA,United States,2016,4,67603,59045,8558
USA,United States,2016,5,71873,62909,8965
USA,United States,2016,6,74886,64923,9962
USA,United States,2016,7,77423,66299,11125
USA,United States,2016,8,73908,63686,10222
USA,United States,2016,9,66882,58882,8001
USA,United States,2016,10,69986,61987,7999
USA,United States,2016,11,66963,59502,7461
USA,United States,2016,12,68272,59350,8922
USA,United States,2017,1,62949,54297,8652
USA,United States,2017,2,58667,51252,7415
USA,United States,2017,3,73321,64181,9140
USA,United States,2017,4,70606,61292,9314
USA,United States,2017,5,74011,64635,9376
USA,United States,2017,6,77369,66926,10442
USA,United States,2017,7,80255,68725,11531
USA,United States,2017,8,77563,66856,10708
USA,United States,2017,9,65316,57405,7913
USA,United States,2017,10,73143,64908,8235
USA,United States,2017,11,70018,62162,7856
USA,United States,2017,12,70666,61577,9089
USA,United States,2018,1,64786,55998,8787
USA,United States,2018,2,62068,54261,7807
USA,United States,2018,3,76706,66856,9850
USA,United States,2018,4,74018,64744,9274
USA,United States,2018,5,77706,68024,9681
USA,United States,2018,6,81334,70460,10874
USA,United States,2018,7,84373,72697,11675
USA,United States,2018,8,81318,70523,10795
USA,United States,2018,9,69027,60696,8331
USA,United States,2018,10,75880,67332,8550
USA,United States,2018,11,73165,64922,8244
USA,United States,2018,12,73113,63800,9313
