International Passenger - Passenger Enplanements  (January 2010 - December 2018)
Unit: (000)

Period,Total
"January 2010","7323"
"February 2010","6456"
"March 2010","8062"
"April 2010","7407"
"May 2010","7863"
"June 2010","8576"
"July 2010","9662"
"August 2010","9170"
"September 2010","7241"
"October 2010","7501"
"November 2010","6934"
"December 2010","7711"
"January 2011","7636"
"February 2011","6672"
"March 2011","8216"
"April 2011","7924"
"May 2011","8123"
"June 2011","8736"
"July 2011","9993"
"August 2011","9233"
"September 2011","7309"
"October 2011","7299"
"November 2011","6861"
"December 2011","7815"
"January 2012","7638"
"February 2012","6952"
"March 2012","8549"
"April 2012","8080"
"May 2012","8175"
"June 2012","9007"
"July 2012","9892"
"August 2012","9441"
"September 2012","7507"
"October 2012","7351"
"November 2012","7108"
"December 2012","7977"
"January 2013","7786"
"February 2013","6982"
"March 2013","8776"
"April 2013","7995"
"May 2013","8448"
"June 2013","9330"
"July 2013","10218"
"August 2013","9858"
"September 2013","7611"
"October 2013","7661"
"November 2013","7255"
"December 2013","8368"
"January 2014","8100"
"February 2014","7150"
"March 2014","8913"
"April 2014","8442"
"May 2014","8836"
"June 2014","9579"
"July 2014","10464"
"August 2014","10050"
"September 2014","7659"
"October 2014","7619"
"November 2014","7334"
"December 2014","8486"
"January 2015","8314"
"February 2015","7235"
"March 2015","8888"
"April 2015","8461"
"May 2015","8904"
"June 2015","9700"
"July 2015","10866"
"August 2015","10388"
"September 2015","7951"
"October 2015","8050"
"November 2015","7608"
"December 2015","8760"
"January 2016","8559"
"February 2016","7571"
"March 2016","9164"
"April 2016","8558"
"May 2016","8965"
"June 2016","9962"
"July 2016","11125"
"August 2016","10222"
"September 2016","8001"
"October 2016","7999"
"November 2016","7461"
"December 2016","8922"
"January 2017","8652"
"February 2017","7415"
"March 2017","9140"
"April 2017","9314"
"May 2017","9376"
"June 2017","10442"
"July 2017","11531"
"August 2017","10708"
"September 2017","7913"
"October 2017","8235"
"November 2017","7856"
"December 2017","9089"
"January 2018","8787"
"February 2018","7807"
"March 2018","9850"
"April 2018","9274"
"May 2018","9681"
"June 2018","10874"
"July 2018","11675"
"August 2018","10795"
"September 2018","8331"
"October 2018","8550"
"November 2018","8244"
"December 2018","9313"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
