System Passenger - Passenger Enplanements  (January 2010 - December 2018)
Unit: (000)

Period,Total
"January 2010","53043"
"February 2010","49091"
"March 2010","62735"
"April 2010","60145"
"May 2010","61941"
"June 2010","65515"
"July 2010","69078"
"August 2010","66814"
"September 2010","57842"
"October 2010","62648"
"November 2010","58653"
"December 2010","59040"
"January 2011","54179"
"February 2011","50554"
"March 2011","64164"
"April 2011","61033"
"May 2011","64348"
"June 2011","66777"
"July 2011","70590"
"August 2011","66953"
"September 2011","58629"
"October 2011","61750"
"November 2011","58822"
"December 2011","59594"
"January 2012","54929"
"February 2012","53576"
"March 2012","65008"
"April 2012","61992"
"May 2012","64126"
"June 2012","67144"
"July 2012","69802"
"August 2012","68366"
"September 2012","57935"
"October 2012","61412"
"November 2012","59208"
"December 2012","59324"
"January 2013","55797"
"February 2013","52891"
"March 2013","65540"
"April 2013","61418"
"May 2013","65208"
"June 2013","67517"
"July 2013","69726"
"August 2013","68231"
"September 2013","58648"
"October 2013","62622"
"November 2013","58020"
"December 2013","62919"
"January 2014","56265"
"February 2014","52843"
"March 2014","66911"
"April 2014","63883"
"May 2014","66912"
"June 2014","69069"
"July 2014","72422"
"August 2014","70057"
"September 2014","60444"
"October 2014","64978"
"November 2014","60158"
"December 2014","64177"
"January 2015","58229"
"February 2015","54572"
"March 2015","68640"
"April 2015","66343"
"May 2015","69353"
"June 2015","71710"
"July 2015","76191"
"August 2015","73366"
"September 2015","64189"
"October 2015","69207"
"November 2015","64974"
"December 2015","66801"
"January 2016","61202"
"February 2016","58836"
"March 2016","70927"
"April 2016","67603"
"May 2016","71873"
"June 2016","74886"
"July 2016","77423"
"August 2016","73908"
"September 2016","66882"
"October 2016","69986"
"November 2016","66963"
"December 2016","68272"
"January 2017","62949"
"February 2017","58667"
"March 2017","73321"
"April 2017","70606"
"May 2017","74011"
"June 2017","77369"
"July 2017","80255"
"August 2017","77563"
"September 2017","65316"
"October 2017","73143"
"November 2017","70018"
"December 2017","70666"
"January 2018","64786"
"February 2018","62068"
"March 2018","76706"
"April 2018","74018"
"May 2018","77706"
"June 2018","81334"
"July 2018","84373"
"August 2018","81318"
"September 2018","69027"
"October 2018","75880"
"November 2018","73165"
"December 2018","73113"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
