"ADM_name","ISO3","Name_short","Date_b19","Date_e19","Date_b18","Date_e18","Date_b17","Date_e17","Date_b16","Date_e16","Date_b15","Date_e15","Date_b14","Date_e14","Date_b13","Date_e13","Date_b12","Date_e12","Date_b11","Date_e11","Date_b10","Date_e10","Date_b09","Date_e09"
"Afghanistan","AFG","summer holiday",2019-07-25,2019-08-10,2018-07-25,2018-08-10,2017-07-25,2017-08-10,2016-07-25,2016-08-10,2015-07-25,2015-08-09,2014-07-26,2014-08-10,2013-07-27,2013-08-10,2012-07-25,2012-08-10,2011-07-25,2011-08-10,2010-07-25,2010-08-08,2009-07-25,2009-08-09
"Albania","ALB","summer holiday",2019-06-08,2019-09-15,2018-06-09,2018-09-15,2017-06-10,2017-09-15,2016-06-08,2016-09-15,2015-06-08,2015-09-13,2014-06-08,2014-09-14,2013-06-08,2013-09-15,2012-06-09,2012-09-15,2011-06-08,2011-09-15,2010-06-08,2010-09-15,2009-06-08,2009-09-13
"Algeria","DZA","summer holiday",2019-07-04,2019-09-04,2018-07-04,2018-09-02,2017-07-04,2017-09-03,2016-07-04,2016-09-04,2015-07-04,2015-09-04,2014-07-05,2014-09-04,2013-07-06,2013-09-04,2012-07-04,2012-09-02,2011-07-04,2011-09-04,2010-07-04,2010-09-04,2009-07-04,2009-09-04
"American Samoa","ASM","summer holiday",2019-07-20,2019-08-18,2018-07-21,2018-08-18,2017-07-22,2017-08-18,2016-07-20,2016-08-18,2015-07-20,2015-08-16,2014-07-20,2014-08-17,2013-07-20,2013-08-18,2012-07-21,2012-08-18,2011-07-20,2011-08-18,2010-07-20,2010-08-18,2009-07-20,2009-08-16
"American Samoa","ASM","spring holiday",2019-05-04,2019-06-02,2018-05-05,2018-06-02,2017-05-06,2017-06-02,2016-05-04,2016-06-02,2015-05-04,2015-05-31,2014-05-04,2014-06-01,2013-05-04,2013-06-02,2012-05-05,2012-06-02,2011-05-04,2011-06-02,2010-05-04,2010-06-02,2009-05-04,2009-05-31
"American Samoa","ASM","winter holiday",2019-11-30,2020-01-12,2018-12-01,2019-01-12,2017-12-02,2018-01-12,2016-11-30,2017-01-12,2015-11-30,2016-01-10,2014-11-30,2015-01-11,2013-11-30,2014-01-12,2012-12-01,2013-01-12,2011-11-30,2012-01-12,2010-11-30,2011-01-12,2009-11-30,2010-01-10
"Andorra","AND","summer holiday",2019-06-29,2019-09-08,2018-06-30,2018-09-08,2017-07-01,2017-09-08,2016-06-29,2016-09-08,2015-06-29,2015-09-06,2014-06-29,2014-09-07,2013-06-29,2013-09-08,2012-06-30,2012-09-08,2011-06-29,2011-09-08,2010-06-29,2010-09-08,2009-06-29,2009-09-06
"Angola","AGO","break between school years/terms",2019-12-17,2020-01-31,2018-12-17,2019-01-31,2017-12-17,2018-01-31,2016-12-17,2017-01-29,2015-12-19,2016-01-31,2014-12-17,2015-01-31,2013-12-17,2014-01-31,2012-12-17,2013-01-31,2011-12-17,2012-01-29,2010-12-18,2011-01-30,2009-12-19,2010-01-31
"Anguilla","AIA","summer holiday",2019-07-06,2019-09-08,2018-07-07,2018-09-08,2017-07-08,2017-09-08,2016-07-06,2016-09-08,2015-07-06,2015-09-06,2014-07-06,2014-09-07,2013-07-06,2013-09-08,2012-07-07,2012-09-08,2011-07-06,2011-09-08,2010-07-06,2010-09-08,2009-07-06,2009-09-06
"Antigua & Barbuda","ATG","summer holiday",2019-06-22,2019-09-01,2018-06-23,2018-09-01,2017-06-24,2017-09-01,2016-06-22,2016-09-01,2015-06-22,2015-08-30,2014-06-22,2014-08-31,2013-06-22,2013-09-01,2012-06-23,2012-09-01,2011-06-22,2011-09-01,2010-06-22,2010-09-01,2009-06-22,2009-08-30
