ADM_name,ISO3,Name_short,Date_b19,Date_e19,Date_b18,Date_e18
Afghanistan,AFG,summer holiday,25/07/2019,10/08/2019,,
Albania,ALB,summer holiday,07/06/2019,16/09/2019,,
Algeria,DZA,summer holiday,04/07/2019,04/09/2019,,
American Samoa,ASM,summer holiday,20/07/2019,18/08/2019,,
American Samoa,ASM,spring holiday,04/05/2019,02/06/2019,,
American Samoa,ASM,winter holiday,30/11/2019,13/01/2020,,
Andorra,AND,summer holiday,28/06/2019,09/09/2019,,
Angola,AGO,break between school years/terms,17/12/2019,31/01/2020,,
Anguilla,AIA,summer holiday,05/07/2019,09/09/2019,,
Antigua & Barbuda,ATG,summer holiday,21/06/2019,02/09/2019,,
Argentina,ARG,winter holiday,05/07/2019,22/07/2019,,
Argentina,ARG,summer holiday,30/11/2019,01/03/2020,,
Armenia,ARM,summer holiday,25/05/2019,01/09/2019,,
Aruba,ABW,autumn holiday,04/10/2019,14/10/2019,,
Aruba,ABW,summer holiday,13/06/2019,14/08/2019,,
Australia,AUS,spring holiday,27/09/2019,14/10/2019,,
Australia,AUS,winter holiday,05/07/2019,22/07/2019,,
Australia,AUS,autumn holiday,12/04/2019,29/04/2019,,
Australia,AUS,summer holiday,13/12/2019,28/01/2020,,
Austria,AUT,summer holiday,30/06/2019,02/09/2019,,
Azerbaijan,AZE,autumn holiday,15/11/2019,21/11/2019,,
Azerbaijan,AZE,break between school years/terms,15/06/2019,16/09/2019,,
Bahamas,BHS,autumn holiday,18/10/2019,29/10/2019,,
Bahamas,BHS,summer holiday,21/06/2019,27/08/2019,,
Bahrain,BHR,summer holiday,26/06/2019,02/09/2019,,
Bangladesh,BGD,break between school years/terms,16/08/2019,01/09/2019,,
Bangladesh,BGD,summer holiday,16/05/2019,22/06/2019,,
Barbados,BRB,summer holiday,04/07/2019,09/09/2019,,
Belarus (Bielarus),BLR,autumn holiday,01/11/2019,12/11/2019,,
Belarus (Bielarus),BLR,summer holiday,31/05/2019,02/09/2019,,
Belgium,BEL,summer holiday,01/07/2019,02/09/2019,,
Belize,BLZ,summer holiday,28/06/2019,02/09/2019,,
Benin,BEN,summer holiday,26/06/2019,16/09/2019,,
Bermuda,BMU,summer holiday,28/06/2019,10/09/2019,,
Bhutan,BTN,summer holiday,01/07/2019,31/07/2019,,
Bolivia,BOL,winter holiday,28/06/2019,15/07/2019,,
Bolivia,BOL,summer holiday,29/11/2019,31/01/2020,,
Bosnia & Herzegovina (Federation),BIH,summer holiday,09/06/2019,02/09/2019,,
Botswana,BWA,winter holiday,12/07/2019,29/07/2019,,
Botswana,BWA,summer holiday,01/12/2019,12/01/2020,,
Brazil,BRA,winter holiday,20/06/2019,28/07/2019,23/06/2018,31/07/2018
Brazil,BRA,summer holiday,18/12/2019,02/02/2020,21/12/2018,03/02/2019
British-virgin-islands,VGB,break between school years/terms,18/06/2019,03/09/2019,,
Brunei Darussalam,BRN,break between school years/terms,06/09/2019,15/09/2019,,
Brunei Darussalam,BRN,break between school years/terms,15/03/2019,31/03/2019,,
Brunei Darussalam,BRN,break between school years/terms,01/12/2019,01/01/2020,,
Bulgaria,BGR,summer holiday,28/06/2019,03/09/2019,,
Burkina Faso,BFA,summer holiday,05/07/2019,03/09/2019,,
Burundi,BDI,summer holiday,12/07/2019,09/09/2019,,
C?te d'Ivoire (Ivory Coast),CIV,summer holiday,31/07/2019,09/09/2019,,
Cambodia,KHM,summer holiday,07/06/2019,06/08/2019,,
Cameroon,CMR,summer holiday,05/07/2019,03/09/2019,,
Canada,CAN,summer holiday,27/06/2019,03/09/2019,,
Cape Verde,CPV,summer holiday,28/06/2019,17/09/2019,,
Cayman,CYM,summer holiday,29/06/2019,27/08/2019,,
Central African Rep,CAF,autumn holiday,25/10/2019,04/11/2019,,
Central African Rep,CAF,summer holiday,01/07/2019,02/09/2019,,
Chad,TCD,summer holiday,05/07/2019,02/09/2019,,
Chile,CHL,winter holiday,17/07/2019,29/07/2019,,
Chile,CHL,summer holiday,21/12/2019,21/02/2019,08/12/2018,04/03/2019
Colombia,COL,summer holiday,28/06/2019,15/07/2019,,
Comoros,COM,winter holiday,05/07/2019,04/09/2019,,
Congo (Brazzaville),COG,summer holiday,27/06/2019,02/09/2019,,
Congo (Dem. Rep. of the),COD,summer holiday,02/07/2019,02/09/2019,,
Cook Islands,COK,spring holiday,05/10/2019,20/10/2019,,
Cook Islands,COK,winter holiday,20/07/2019,05/08/2019,,
Cook Islands,COK,autumn holiday,19/04/2019,05/05/2019,,
Cook Islands,COK,summer holiday,14/12/2019,02/02/2020,,
Costa Rica,CRI,summer holiday,01/07/2019,12/07/2019,,
Costa Rica,CRI,break between school years/terms,10/12/2019,02/02/2020,,
Croatia (Hrvatska),HRV,autumn holiday,25/10/2019,04/11/2019,,
Croatia (Hrvatska),HRV,summer holiday,14/06/2019,09/09/2019,,
Cuba,CUB,summer holiday,29/06/2019,02/09/2019,,
Cura?ao,CUW,summer holiday,14/06/2019,08/08/2019,,
Cyprus,CYP,break between school years/terms,18/06/2019,24/07/2019,,
Czech Republic,CZE,summer holiday,29/06/2019,02/09/2019,,
Denmark,DNK,autumn holiday,18/10/2019,28/10/2019,,
Denmark,DNK,summer holiday,29/06/2019,12/08/2019,,
Djibouti,DJI,summer holiday,26/06/2019,03/09/2019,,
Dominica,DMA,summer holiday,03/07/2019,04/09/2019,,
Dominican Republic,DOM,summer holiday,21/06/2019,19/08/2019,,
Ecuador,ECU,break between school years/terms,22/06/2019,18/08/2019,,
Ecuador,ECU,winter holiday,20/12/2019,06/01/2020,20/12/2018,06/01/2019
Egypt,EGY,summer holiday,06/06/2019,01/09/2019,,
El Salvador,SLV,break between school years/terms,15/11/2019,21/01/2020,,
Equatorial Guinea,GNQ,summer holiday,15/06/2019,02/09/2019,,
Eritrea,ERI,summer holiday,14/06/2019,21/08/2019,,
Estonia,EST,summer holiday,11/06/2019,02/09/2019,,
Ethiopia,ETH,break between school years/terms,15/06/2019,31/08/2019,,
Falkland Islands,FLK,winter holiday,08/08/2019,04/09/2019,,
Faroe Islands,FRO,autumn holiday,11/10/2019,21/10/2019,,
Faroe Islands,FRO,summer holiday,28/06/2019,19/08/2019,,
Fiji,FJI,winter holiday,09/08/2019,26/08/2019,,
Fiji,FJI,break between school years/terms,21/11/2019,02/02/2020,,
Finland,FIN,autumn holiday,11/10/2019,21/10/2019,,
Finland,FIN,summer holiday,01/06/2019,08/08/2019,,
France,FRA,summer holiday,06/07/2019,02/09/2019,,
French Polynesia,PYF,winter holiday,28/06/2019,14/08/2019,,
Gabon,GAB,summer holiday,05/07/2019,30/09/2019,,
Gambia,GMB,summer holiday,05/07/2019,10/09/2019,,
Georgia,GEO,summer holiday,15/06/2019,16/09/2019,,
Germany,DEU,autumn holiday,04/10/2019,21/10/2019,,
Germany,DEU,summer holiday,20/06/2019,10/09/2019,,
Ghana,GHA,break between school years/terms,04/04/2019,17/04/2019,,
Ghana,GHA,break between school years/terms,13/12/2019,08/01/2020,,
Ghana,GHA,break between school years/terms,09/07/2019,04/09/2019,,
Gibraltar,GIB,autumn holiday,25/10/2019,04/11/2019,,
Gibraltar,GIB,summer holiday,28/06/2019,03/09/2019,,
Greece,GRC,summer holiday,14/06/2019,06/09/2019,,
Greenland - Kalaallit Nunaat,GRL,summer holiday,20/06/2019,12/08/2019,,
Grenada,GRD,summer holiday,12/07/2019,02/09/2019,,
Guadeloupe,GLP,summer holiday,06/07/2019,02/09/2019,,
Guam,GUM,summer holiday,31/05/2019,21/08/2019,,
Guatemala,GTM,summer holiday,21/06/2019,01/07/2019,,
Guernsey,GGY,autumn holiday,18/10/2019,04/11/2019,,
Guernsey,GGY,summer holiday,08/07/2019,02/09/2019,,
Guiana,GUY,autumn holiday,18/10/2019,04/11/2019,,
Guiana,GUY,summer holiday,05/07/2019,02/09/2019,,
Guinea,GIN,summer holiday,05/07/2019,03/09/2019,,
Guinea-Bissau,GNB,summer holiday,26/07/2019,15/09/2019,,
Guyana,GUY,summer holiday,05/07/2019,02/09/2019,,
Haiti,HTI,summer holiday,28/06/2019,03/09/2019,,
Honduras,HND,break between school years/terms,30/11/2019,02/02/2020,,
Hong Kong,HKG,summer holiday,14/06/2019,02/09/2019,,
Hong Kong,HKG,autumn holiday,18/10/2019,28/10/2019,,
Hungary,HUN,autumn holiday,25/10/2019,04/11/2019,,
Hungary,HUN,summer holiday,14/06/2019,02/09/2019,,
Iceland,ISL,summer holiday,07/06/2019,23/08/2019,,
India,IND,summer holiday,31/05/2019,05/07/2019,26/05/2018,02/07/2018
India,IND,winter holiday,22/12/2019,13/01/2020,,
Indonesia,IDN,break between school years/terms,11/06/2019,14/07/2019,,
Iran (Islamic Republic of),IRN,summer holiday,19/06/2019,15/09/2019,,
Iraq,IRQ,summer holiday,20/06/2019,01/09/2019,,
Ireland,IRL,summer holiday,07/06/2019,02/09/2019,,
Isle of Man,IMN,break between school years/terms,22/07/2019,04/09/2019,,
Israel,ISR,summer holiday,28/06/2019,01/09/2019,,
Italy,ITA,break between school years/terms,09/06/2019,10/09/2019,,
Italy,ITA,summer holiday,08/06/2019,15/09/2019,,
Jamaica,JAM,summer holiday,05/07/2019,02/09/2019,,
Japan,JPN,summer holiday,19/07/2019,02/09/2019,,
Jersey,JEY,summer holiday,19/07/2019,04/09/2019,,
Jordan,JOR,summer holiday,12/06/2019,02/09/2019,,
Kazakhstan,KAZ,autumn holiday,25/10/2019,04/11/2019,,
Kazakhstan,KAZ,summer holiday,24/05/2019,26/08/2019,,
Kenya,KEN,summer holiday,02/08/2019,26/08/2019,,
Kenya,KEN,break between school years/terms,30/11/2019,02/01/2020,,
Kosovo,KOS,summer holiday,28/06/2019,02/09/2019,,
Kuwait,KWT,summer holiday,04/07/2019,26/08/2019,,
Kyrgyzstan,KGZ,summer holiday,25/05/2019,02/09/2019,,
Kyrgyzstan,KGZ,autumn holiday,25/10/2019,04/11/2019,,
Laos (People's Dem. Rep.),LAO,summer holiday,28/06/2019,03/09/2019,,
Latvia,LVA,summer holiday,31/05/2019,02/09/2019,,
Latvia,LVA,autumn holiday,11/10/2019,21/10/2019,,
Lebanon,LBN,summer holiday,24/05/2019,16/08/2019,,
Lebanon,LBN,autumn holiday,11/10/2019,21/10/2019,,
Lesotho,LSO,break between school years/terms,13/06/2019,13/08/2019,,
Liberia,LBR,summer holiday,19/07/2019,02/09/2019,,
Libya,LBY,summer holiday,01/07/2019,08/01/2019,,
